,contest,winner,loser,time
337,7264410433580489,83,83,2020-09-07 20:14:18.540000
338,8544562917424875,58,53,2020-09-07 20:14:18.540000
339,8627014080440370,47,49,2020-09-07 20:14:18.540000
340,3228781488312512,68,68,2020-09-07 20:14:18.540000
341,4625372014426938,52,53,2020-09-07 20:14:18.540000
342,5326027428469004,68,64,2020-09-07 20:14:18.540000
343,5484502778026675,60,61,2020-09-07 20:14:18.540000
344,6396638389653042,69,74,2020-09-07 20:14:18.540000
345,2362421450437256,73,73,2020-09-07 21:13:33.698000
346,5505453509803834,74,58,2020-09-07 21:13:33.698000
347,673332671822625,56,48,2020-09-07 21:13:33.698000
348,7713814394147394,48,56,2020-09-07 21:13:33.698000
349,2921832312357682,75,76,2020-09-07 21:13:33.698000
350,3429116405126752,47,52,2020-09-07 21:13:33.698000
351,6550363453196340,83,82,2020-09-07 21:13:33.698000
352,665724629232423,64,61,2020-09-07 21:13:33.698000
353,2513206554979015,70,71,2020-09-07 22:15:51.146000
354,3381068386872729,70,72,2020-09-07 22:15:51.146000
355,4320291395127569,73,68,2020-09-07 22:15:51.146000
356,2255957601625766,52,47,2020-09-07 22:15:51.146000
357,2701440775834837,59,58,2020-09-07 22:15:51.146000
358,8067642514424702,57,57,2020-09-07 23:14:02.759000
359,925291638622915,61,67,2020-09-07 23:14:02.759000
360,3606497354883725,54,61,2020-09-07 23:14:02.759000
361,8332770757377547,73,73,2020-09-07 23:14:02.759000
362,5386044220349906,68,71,2020-09-07 23:14:02.759000
363,6752630778251950,73,71,2020-09-07 23:14:02.759000
364,7077896899034029,68,72,2020-09-07 23:14:02.759000
365,8152919403932368,58,58,2020-09-07 23:14:02.759000
366,8351044950809607,65,52,2020-09-07 23:14:02.759000
367,1252998388690472,52,52,2020-09-08 00:16:19.967000
368,544812837072736,76,73,2020-09-08 00:16:19.967000
369,134498239439580,63,59,2020-09-08 00:16:19.967000
370,1898604886136618,44,45,2020-09-08 00:16:19.967000
371,5551318333309044,58,54,2020-09-08 00:16:19.967000
372,8149945736308026,72,78,2020-09-08 01:19:56.520000
373,7192762075361037,64,60,2020-09-08 01:19:56.520000
374,7395811166966801,71,64,2020-09-08 01:19:56.520000
375,7668527922144750,46,51,2020-09-08 01:19:56.520000
376,118542817896520,58,58,2020-09-08 01:19:56.520000
377,3700587668298628,45,78,2020-09-08 01:19:56.520000
378,3820438124252062,65,56,2020-09-08 01:19:56.520000
379,8154862996722092,67,64,2020-09-08 01:19:56.520000
380,903976414940010,72,78,2020-09-08 01:19:56.520000
381,8037715339629920,46,51,2020-09-08 02:17:31.914000
382,4852192088753604,71,67,2020-09-08 02:17:31.914000
383,5569804672147767,66,64,2020-09-08 02:17:31.914000
384,6284062909374281,57,59,2020-09-08 02:17:31.914000
385,1489775679180779,39,47,2020-09-08 03:22:25.381000
386,2400767229307144,70,37,2020-09-08 03:22:25.381000
387,307478351853016,65,59,2020-09-08 03:22:25.381000
388,3933440507000670,63,68,2020-09-08 03:22:25.381000
389,6458107482079908,76,74,2020-09-08 03:22:25.381000
390,7427301357591622,65,69,2020-09-08 03:22:25.381000
391,1536444690293139,70,37,2020-09-08 04:14:41.822000
392,7066043408021236,44,44,2020-09-08 04:14:41.822000
393,8296727159896171,73,77,2020-09-08 04:14:41.822000
394,7414513914067443,60,70,2020-09-08 04:14:41.822000
395,7781673822444218,69,53,2020-09-08 05:19:32.066000
396,310682386120034,83,86,2020-09-08 05:19:32.066000
397,2688014794897092,60,49,2020-09-08 05:19:32.066000
398,1656815078014740,86,77,2020-09-08 05:19:32.066000
399,5370931374948463,51,55,2020-09-08 05:19:32.066000
400,8969018400955179,73,70,2020-09-08 05:19:32.066000
401,148826134716042,73,72,2020-09-08 05:19:32.066000
402,3952157654793538,62,60,2020-09-08 05:19:32.066000
403,4001660408040494,71,70,2020-09-08 05:19:32.066000
404,5515877868792180,55,51,2020-09-08 05:19:32.066000
405,7395141193355262,44,57,2020-09-08 05:19:32.066000
406,8929241331273493,44,35,2020-09-08 05:19:32.066000
407,229764712309653,65,64,2020-09-08 06:32:41.966000
